"ecosystem_type","name2","realm","metric","value"
"Barren","EWA","Terrestrial","area_km2_2013",1.05
"Barren","EWA","Terrestrial","area_km2_2016",0.86
"Barren","EWA","Terrestrial","area_km2_2019",0.94
"Barren","EWA","Terrestrial","change_km2_2013_2016",-0.19
"Barren","EWA","Terrestrial","change_km2_2013_2019",-0.11
"Barren","EWA","Terrestrial","change_km2_2016_2019",0.08
"Barren","EWA","Terrestrial","dir_2013_2016",-1
"Barren","EWA","Terrestrial","dir_2013_2019",-1
"Barren","EWA","Terrestrial","dir_2016_2019",1
"Barren","EWA","Terrestrial","pct_change_2013_2016",-18.0952380952381
"Barren","EWA","Terrestrial","pct_change_2013_2019",-10.4761904761905
"Barren","EWA","Terrestrial","pct_change_2016_2019",9.30232558139534
"Barren","HALELEA","Terrestrial","area_km2_2013",0.1
"Barren","HALELEA","Terrestrial","area_km2_2016",0.1
"Barren","HALELEA","Terrestrial","area_km2_2019",0.08
"Barren","HALELEA","Terrestrial","change_km2_2013_2016",0
"Barren","HALELEA","Terrestrial","change_km2_2013_2019",-0.02
"Barren","HALELEA","Terrestrial","change_km2_2016_2019",-0.02
"Barren","HALELEA","Terrestrial","dir_2013_2016",0
"Barren","HALELEA","Terrestrial","dir_2013_2019",-1
"Barren","HALELEA","Terrestrial","dir_2016_2019",-1
"Barren","HALELEA","Terrestrial","pct_change_2013_2016",0
"Barren","HALELEA","Terrestrial","pct_change_2013_2019",-20
"Barren","HALELEA","Terrestrial","pct_change_2016_2019",-20
"Barren","HAMAKUA","Terrestrial","area_km2_2013",35.66
"Barren","HAMAKUA","Terrestrial","area_km2_2016",35.65
"Barren","HAMAKUA","Terrestrial","area_km2_2019",35.53
"Barren","HAMAKUA","Terrestrial","change_km2_2013_2016",-0.00999999999999801
"Barren","HAMAKUA","Terrestrial","change_km2_2013_2019",-0.129999999999995
"Barren","HAMAKUA","Terrestrial","change_km2_2016_2019",-0.119999999999997
"Barren","HAMAKUA","Terrestrial","dir_2013_2016",-1
"Barren","HAMAKUA","Terrestrial","dir_2013_2019",-1
"Barren","HAMAKUA","Terrestrial","dir_2016_2019",-1
"Barren","HAMAKUA","Terrestrial","pct_change_2013_2016",-0.0280426247896747
"Barren","HAMAKUA","Terrestrial","pct_change_2013_2019",-0.364554122265831
"Barren","HAMAKUA","Terrestrial","pct_change_2016_2019",-0.336605890603078
"Barren","HAMAKUALOA","Terrestrial","area_km2_2013",0.21
"Barren","HAMAKUALOA","Terrestrial","area_km2_2016",0.21
"Barren","HAMAKUALOA","Terrestrial","area_km2_2019",0.16
"Barren","HAMAKUALOA","Terrestrial","change_km2_2013_2016",0
"Barren","HAMAKUALOA","Terrestrial","change_km2_2013_2019",-0.05
"Barren","HAMAKUALOA","Terrestrial","change_km2_2016_2019",-0.05
"Barren","HAMAKUALOA","Terrestrial","dir_2013_2016",0
"Barren","HAMAKUALOA","Terrestrial","dir_2013_2019",-1
"Barren","HAMAKUALOA","Terrestrial","dir_2016_2019",-1
"Barren","HAMAKUALOA","Terrestrial","pct_change_2013_2016",0
"Barren","HAMAKUALOA","Terrestrial","pct_change_2013_2019",-23.8095238095238
"Barren","HAMAKUALOA","Terrestrial","pct_change_2016_2019",-23.8095238095238
"Barren","HAMAKUAPOKO","Terrestrial","area_km2_2013",0.18
"Barren","HAMAKUAPOKO","Terrestrial","area_km2_2016",0.17
"Barren","HAMAKUAPOKO","Terrestrial","area_km2_2019",0.21
"Barren","HAMAKUAPOKO","Terrestrial","change_km2_2013_2016",-0.00999999999999998
"Barren","HAMAKUAPOKO","Terrestrial","change_km2_2013_2019",0.03
"Barren","HAMAKUAPOKO","Terrestrial","change_km2_2016_2019",0.04
"Barren","HAMAKUAPOKO","Terrestrial","dir_2013_2016",-1
"Barren","HAMAKUAPOKO","Terrestrial","dir_2013_2019",1
"Barren","HAMAKUAPOKO","Terrestrial","dir_2016_2019",1
"Barren","HAMAKUAPOKO","Terrestrial","pct_change_2013_2016",-5.55555555555555
"Barren","HAMAKUAPOKO","Terrestrial","pct_change_2013_2019",16.6666666666667
"Barren","HAMAKUAPOKO","Terrestrial","pct_change_2016_2019",23.5294117647059
"Barren","HANA","Terrestrial","area_km2_2013",0.09
"Barren","HANA","Terrestrial","area_km2_2016",0.09
"Barren","HANA","Terrestrial","area_km2_2019",0.08
"Barren","HANA","Terrestrial","change_km2_2013_2016",0
"Barren","HANA","Terrestrial","change_km2_2013_2019",-0.01
"Barren","HANA","Terrestrial","change_km2_2016_2019",-0.01
"Barren","HANA","Terrestrial","dir_2013_2016",0
"Barren","HANA","Terrestrial","dir_2013_2019",-1
"Barren","HANA","Terrestrial","dir_2016_2019",-1
"Barren","HANA","Terrestrial","pct_change_2013_2016",0
"Barren","HANA","Terrestrial","pct_change_2013_2019",-11.1111111111111
"Barren","HANA","Terrestrial","pct_change_2016_2019",-11.1111111111111
"Barren","HILO","Terrestrial","area_km2_2013",212.59
"Barren","HILO","Terrestrial","area_km2_2016",212.44
"Barren","HILO","Terrestrial","area_km2_2019",212.28
"Barren","HILO","Terrestrial","change_km2_2013_2016",-0.150000000000006
"Barren","HILO","Terrestrial","change_km2_2013_2019",-0.310000000000002
"Barren","HILO","Terrestrial","change_km2_2016_2019",-0.159999999999997
"Barren","HILO","Terrestrial","dir_2013_2016",-1
"Barren","HILO","Terrestrial","dir_2013_2019",-1
"Barren","HILO","Terrestrial","dir_2016_2019",-1
"Barren","HILO","Terrestrial","pct_change_2013_2016",-0.0705583517569056
"Barren","HILO","Terrestrial","pct_change_2013_2019",-0.145820593630934
"Barren","HILO","Terrestrial","pct_change_2016_2019",-0.0753153831670103
"Barren","HONUAULA","Terrestrial","area_km2_2013",21.88
"Barren","HONUAULA","Terrestrial","area_km2_2016",21.61
"Barren","HONUAULA","Terrestrial","area_km2_2019",21.56
"Barren","HONUAULA","Terrestrial","change_km2_2013_2016",-0.27
"Barren","HONUAULA","Terrestrial","change_km2_2013_2019",-0.32
"Barren","HONUAULA","Terrestrial","change_km2_2016_2019",-0.0500000000000007
"Barren","HONUAULA","Terrestrial","dir_2013_2016",-1
"Barren","HONUAULA","Terrestrial","dir_2013_2019",-1
"Barren","HONUAULA","Terrestrial","dir_2016_2019",-1
"Barren","HONUAULA","Terrestrial","pct_change_2013_2016",-1.23400365630713
"Barren","HONUAULA","Terrestrial","pct_change_2013_2019",-1.46252285191956
"Barren","HONUAULA","Terrestrial","pct_change_2016_2019",-0.231374363720503
"Barren","KAANAPALI","Terrestrial","area_km2_2013",0.08
"Barren","KAANAPALI","Terrestrial","area_km2_2016",0.08
"Barren","KAANAPALI","Terrestrial","area_km2_2019",0.1
"Barren","KAANAPALI","Terrestrial","change_km2_2013_2016",0
"Barren","KAANAPALI","Terrestrial","change_km2_2013_2019",0.02
"Barren","KAANAPALI","Terrestrial","change_km2_2016_2019",0.02
"Barren","KAANAPALI","Terrestrial","dir_2013_2016",0
"Barren","KAANAPALI","Terrestrial","dir_2013_2019",1
"Barren","KAANAPALI","Terrestrial","dir_2016_2019",1
"Barren","KAANAPALI","Terrestrial","pct_change_2013_2016",0
"Barren","KAANAPALI","Terrestrial","pct_change_2013_2019",25
"Barren","KAANAPALI","Terrestrial","pct_change_2016_2019",25
"Barren","KAHIKINUI","Terrestrial","area_km2_2013",6.53
"Barren","KAHIKINUI","Terrestrial","area_km2_2016",6.44
"Barren","KAHIKINUI","Terrestrial","area_km2_2019",6.37
"Barren","KAHIKINUI","Terrestrial","change_km2_2013_2016",-0.0899999999999999
"Barren","KAHIKINUI","Terrestrial","change_km2_2013_2019",-0.16
"Barren","KAHIKINUI","Terrestrial","change_km2_2016_2019",-0.0700000000000003
"Barren","KAHIKINUI","Terrestrial","dir_2013_2016",-1
"Barren","KAHIKINUI","Terrestrial","dir_2013_2019",-1
"Barren","KAHIKINUI","Terrestrial","dir_2016_2019",-1
"Barren","KAHIKINUI","Terrestrial","pct_change_2013_2016",-1.37825421133231
"Barren","KAHIKINUI","Terrestrial","pct_change_2013_2019",-2.45022970903522
"Barren","KAHIKINUI","Terrestrial","pct_change_2016_2019",-1.08695652173913
"Barren","KALAWA","Terrestrial","area_km2_2013",0.04
"Barren","KALAWA","Terrestrial","area_km2_2016",0.04
"Barren","KALAWA","Terrestrial","area_km2_2019",0.04
"Barren","KALAWA","Terrestrial","change_km2_2013_2016",0
"Barren","KALAWA","Terrestrial","change_km2_2013_2019",0
"Barren","KALAWA","Terrestrial","change_km2_2016_2019",0
"Barren","KALAWA","Terrestrial","dir_2013_2016",0
"Barren","KALAWA","Terrestrial","dir_2013_2019",0
"Barren","KALAWA","Terrestrial","dir_2016_2019",0
"Barren","KALAWA","Terrestrial","pct_change_2013_2016",0
"Barren","KALAWA","Terrestrial","pct_change_2013_2019",0
"Barren","KALAWA","Terrestrial","pct_change_2016_2019",0
"Barren","KALUAKOI","Terrestrial","area_km2_2013",1.84
"Barren","KALUAKOI","Terrestrial","area_km2_2016",1.84
"Barren","KALUAKOI","Terrestrial","area_km2_2019",1.86
"Barren","KALUAKOI","Terrestrial","change_km2_2013_2016",0
"Barren","KALUAKOI","Terrestrial","change_km2_2013_2019",0.02
"Barren","KALUAKOI","Terrestrial","change_km2_2016_2019",0.02
"Barren","KALUAKOI","Terrestrial","dir_2013_2016",0
"Barren","KALUAKOI","Terrestrial","dir_2013_2019",1
"Barren","KALUAKOI","Terrestrial","dir_2016_2019",1
"Barren","KALUAKOI","Terrestrial","pct_change_2013_2016",0
"Barren","KALUAKOI","Terrestrial","pct_change_2013_2019",1.08695652173913
"Barren","KALUAKOI","Terrestrial","pct_change_2016_2019",1.08695652173913
"Barren","KAU","Terrestrial","area_km2_2013",784.87
"Barren","KAU","Terrestrial","area_km2_2016",783.51
"Barren","KAU","Terrestrial","area_km2_2019",779.27
"Barren","KAU","Terrestrial","change_km2_2013_2016",-1.36000000000001
"Barren","KAU","Terrestrial","change_km2_2013_2019",-5.60000000000002
"Barren","KAU","Terrestrial","change_km2_2016_2019",-4.24000000000001
"Barren","KAU","Terrestrial","dir_2013_2016",-1
"Barren","KAU","Terrestrial","dir_2013_2019",-1
"Barren","KAU","Terrestrial","dir_2016_2019",-1
"Barren","KAU","Terrestrial","pct_change_2013_2016",-0.173277103214547
"Barren","KAU","Terrestrial","pct_change_2013_2019",-0.713493954412836
"Barren","KAU","Terrestrial","pct_change_2016_2019",-0.54115454812319
"Barren","KAUPO","Terrestrial","area_km2_2013",13.26
"Barren","KAUPO","Terrestrial","area_km2_2016",13.23
"Barren","KAUPO","Terrestrial","area_km2_2019",13.12
"Barren","KAUPO","Terrestrial","change_km2_2013_2016",-0.0299999999999994
"Barren","KAUPO","Terrestrial","change_km2_2013_2019",-0.140000000000001
"Barren","KAUPO","Terrestrial","change_km2_2016_2019",-0.110000000000001
"Barren","KAUPO","Terrestrial","dir_2013_2016",-1
"Barren","KAUPO","Terrestrial","dir_2013_2019",-1
"Barren","KAUPO","Terrestrial","dir_2016_2019",-1
"Barren","KAUPO","Terrestrial","pct_change_2013_2016",-0.226244343891398
"Barren","KAUPO","Terrestrial","pct_change_2013_2019",-1.05580693815988
